pincode,locality,zone_or_taluk,centroid_lat,centroid_lng,population,households,median_hh_income_inr,demand_index
560001,Bangalore G.P.O.,South,12.97244,77.58064,20386,5996,1100000,76.1
560002,Bangalore City H.O.,South,12.97244,77.58064,20386,5996,820000,69.3
560003,Malleswaram,South,13.00810,77.56480,104726,30802,1100000,84.3
560004,Basavangudi,South,12.94220,77.57480,46926,13802,1100000,80.3
560005,Fraser Town,East,13.00070,77.61650,102848,30249,820000,77.4
560006,J C Nagar,South,13.00540,77.59180,49718,14623,820000,73.8
560007,HAL,East,12.95820,77.64910,168096,49440,820000,79.9
560008,Ulsoor H.O.,East,12.98150,77.61920,50724,14919,1100000,80.7
560009,Gandhinagar,South,12.97910,77.57770,45113,13269,820000,73.3
560010,Rajajinagar,West,12.99060,77.55330,232238,68305,1100000,88.2
560011,Jayanagar 3rd Block,South,12.93290,77.58390,55149,16220,1100000,81.1
560013,Jalahalli,Yelahanka,13.05190,77.54160,54872,16139,720000,71.9
560014,Hospital Town East,East,12.99560,77.61130,41682,12259,820000,72.9
560015,Hospital Town,South,12.99610,77.59880,31409,9238,820000,71.5
560016,Dooravaninagar,East,13.00770,77.67370,117562,34577,1450000,93.3
560017,Vimanapura,Mahadevapura,12.96450,77.68650,83397,24529,1450000,91.6
560018,Chamrajpet West,South,12.95860,77.56340,315084,92672,820000,83.0
560019,Gavipuram Ext.,South,12.94630,77.56690,163386,48055,1100000,86.5
560020,Seshadripuram,South,12.98640,77.58200,32980,9700,820000,71.7
560021,Srirampuram,South,12.98700,77.56620,161214,47416,820000,79.7
560022,Yeswantpur,West,13.01780,77.55720,49432,14539,720000,71.4
560023,Magadi Road,South,12.97090,77.56580,244118,71799,820000,81.7
560024,Hebbal Agri. Farm,South,13.03240,77.59920,305425,89831,1100000,89.6
560025,Richmond Town,South,12.96340,77.60350,72999,21470,1100000,82.5
560027,Shanthinagar,South,12.96110,77.60470,60851,17897,820000,74.8
560028,Thyagarajanagar,South,12.92930,77.56800,94533,27804,1100000,83.8
560029,Dharmaram College,South,12.93760,77.59910,150128,44155,820000,79.3
560030,Adugodi,South,12.94240,77.61060,49581,14583,820000,73.8
560031,HMT,West,13.03110,77.55690,112960,33224,720000,75.5
560032,RT Nagar,South,13.02230,77.59490,210788,61996,1100000,87.8
560033,Maruthisevanagar,East,13.00020,77.63360,180299,53029,820000,80.2
560034,Koramangala,South,12.93170,77.62270,103844,30542,1450000,92.7
560035,Carmelram,Mahadevapura,12.90620,77.70660,83397,24529,1450000,91.6
560036,Krishnarajapuram,East,13.00060,77.67460,111870,32903,1450000,93.1
560037,Marathahally Colony,Mahadevapura,12.95120,77.69980,148676,43728,1450000,94.5
560038,Indiranagar,East,12.97190,77.64120,99773,29345,1450000,92.5
560039,Nayandahalli,RR Nagar,12.93960,77.52040,128239,37717,820000,78.5
560040,Vijayanagar,West,12.96990,77.53330,447369,131579,1100000,91.5
560041,Jayanagar South,South,12.93010,77.58770,87339,25688,1100000,83.4
560043,Bansawadi,East,13.01080,77.64930,145079,42670,820000,79.1
560046,Benson Town,South,12.99660,77.60420,55003,16177,820000,74.3
560047,Viveknagar,South,12.94960,77.62230,123731,36391,820000,78.3
560048,Mahadevapura,Mahadevapura,12.99040,77.68420,154230,45362,1450000,94.7
560049,Virgonagar,Mahadevapura,13.03190,77.73220,142786,41996,1450000,94.3
560050,Banashankari,West,12.92545,77.54676,130344,38336,1100000,85.4
560051,H K P Road,South,12.98551,77.60678,101471,29844,820000,77.4
560052,Vasanthanagar,South,12.99110,77.59200,20386,5996,1100000,76.1
560053,Chickpet,South,12.97080,77.58060,128874,37904,820000,78.5
560054,Mathikere,West,13.03380,77.55720,169452,49839,820000,79.9
560055,Malleswaram West,South,12.99960,77.56890,144721,42565,1100000,85.9
560056,Bangalore University,RR Nagar,12.94620,77.51030,234340,68924,820000,81.5
560057,Dasarahalli,Dasarahalli,13.04580,77.51110,287558,84576,720000,80.1
560058,Peenya S.I.,West,13.00850,77.49960,268305,78913,720000,79.8
560060,Kengeri,RR Nagar,12.90000,77.48330,58937,17334,820000,74.6
560061,Subramanyapura,West,12.90520,77.54330,299930,88215,820000,82.8
560062,Doddakallasandra,West,12.88070,77.55760,140969,41461,820000,79.0
560063,Air Force Stn. Yelahanka,Yelahanka,13.10480,77.57630,187219,55064,980000,84.3
560064,Yelhanka,Yelahanka,13.10480,77.57630,20386,5996,1100000,76.1
560065,G.K.V.K.,Yelahanka,13.08210,77.57620,135898,39970,980000,82.7
560066,Whitefield,Mahadevapura,12.96980,77.74990,152045,44719,1450000,94.6
560067,Kadugodi,Mahadevapura,12.99860,77.76310,83397,24529,1450000,91.6
560068,Madivala,South,12.92110,77.61340,449940,132335,1450000,100.0
560069,Jayanagar East,South,12.93010,77.58770,20386,5996,1100000,76.1
560070,Banashankari 2nd Stage,South,12.92490,77.56620,137630,40479,1100000,85.6
560071,Domlur,East,12.96100,77.63870,83397,24529,1450000,91.6
560072,Nagarbhavi,West,12.97170,77.51320,330244,97131,820000,83.2
560073,Nagasandra,Dasarahalli,13.02889,77.44233,20386,5996,720000,66.9
560074,Kumbalgodu,RR Nagar,12.87620,77.44810,20386,5996,720000,66.9
560075,New Tippasandra,East,12.97690,77.64930,20386,5996,820000,69.3
560076,Bannerghatta Road,Bommanahalli,12.88940,77.59760,238367,70108,980000,85.5
560077,Kothanur,Yelahanka,13.05850,77.64070,326969,96167,980000,87.1
560078,J P Nagar,South,12.91050,77.58570,247172,72698,1100000,88.6
560079,Basaveswaranagar,West,12.99570,77.54190,342508,100738,1100000,90.2
560083,Bannerghatta,South,12.80060,77.57720,20386,5996,820000,69.3
560084,St.Thomas Town,East,13.00590,77.62310,230171,67697,820000,81.4
560085,Banashankari 3rd Stage,West,12.92710,77.55480,191174,56228,1100000,87.3
560086,Mahalakshmi Layout,West,13.01140,77.54670,108107,31796,1100000,84.4
560087,Horamavu,East,13.02720,77.66010,83397,24529,1450000,91.6
560088,Hesaraghatta,Dasarahalli,13.15850,77.48880,20386,5996,820000,69.3
560089,Hesaraghatta Lake,Dasarahalli,13.15850,77.48880,20386,5996,820000,69.3
560090,Chikkabanavara,Dasarahalli,13.08230,77.50680,88281,25965,720000,74.2
560091,Herohalli,West,13.01680,77.48760,105228,30949,820000,77.5
560092,Byatarayanapura,Yelahanka,13.05880,77.59385,173033,50892,1100000,86.8
560093,C V Raman Nagar,East,12.98460,77.66220,148600,43706,1450000,94.5
560094,Nagashettyhalli,East,12.96420,77.62070,20386,5996,1100000,76.1
